expression,meaning,sentence_translation
元気,health / energy / vitality,"She is always energetic."
勉強,study / learning,"I am studying Japanese."
それ,that,"That's such a great story."
恐ろしい,terrifying / scary,"Last night, I had a terrifying dream."
一つ,one / one thing,"Please give me one of those."
まあ,well / I suppose,"Well, this should be fine."
一,one,"Let's start from one."
見える,to look / to seem,"You can see Mount Fuji clearly from here."
頃,when / as a child,"When I was a child, I often played in that park."
小さい,small / little,"Small flowers are blooming."
古い,old,"I like old cars."
動く,to move,"Don't move."
足,foot / leg,"He has long legs."
逃げる,to run away / to escape,"The bird escaped through the window."
どうして,why / how,"Why are you crying?"
時々,sometimes,"He is sometimes late."
忙しい,busy,"I'm busy, so please help me."
田,field / rice field,"This is the season for flooding rice fields with water."
今,now,"He is studying right now."
十分,enough / sufficient,"I still have enough money."
急ぐ,to hurry,"We hurried to the station."
手入れ,maintenance / care,"My mother is taking care of the garden."
賢い,wise / smart,"He's a calm and smart man."
来る,to come,"He will come in the afternoon."
応援,support / cheering,"Many people came to cheer me on."
お祖母さん,grandmother,"She lives with her grandmother."
隣,next to / neighbor,"There is a dog in the house next door."
センター,center,"This center manages the entire factory."
管理,management / control,"She manages my schedule."
お姉さん,older sister,"Yesterday, I met your older sister."
大変,difficult / terrible,"Something terrible happened."
夢,dream,"Last night, I had a terrifying dream."
時,time / moment,"Time passes quickly."
やっぱり,as expected / after all,"After all, I really love traveling."
便所,toilet,"The toilet is over there."
階段,stairs,"We ran up the stairs at the station."
仕事,work / job,"In March, work is busy."
上,above / upper / superior,"I wonder what the higher-ups are thinking."
入る,to enter,"Please come inside because it's cold."
出る,to leave / to go out,"This morning, I left home early."
目,eye,"She has blue eyes."
どこ,where,"Where did you put that book?"
好き,like / fond of,"I like wine."
気,feeling / spirit,"He's unexpectedly timid."
天気,weather,"The weather is nice today, isn't it?"
開ける,to open / to clear,"The boy opens the door."
見せる,to show,"Please show me that picture."
ここ,here,"There is a book here."
部屋,room,"My room is on the second floor."
早い,early,"It's still early to go to school."
お願い,request / favor,"I have a favor to ask."
落ちる,to fall,"Even monkeys fall from trees."
木,tree,"The typhoon knocked down a tree."
何か,something,"What happened?―Something got into my eye."
中,middle / inside,"My child's height is about average in the class."
雨,rain,"It's raining."
明るい,bright / cheerful,"She has a cheerful personality."
暗い,dark,"The eastern sky is dark."
黒い,black,"She is wearing a black dress."
魚,fish,"Do you like meat or fish better?"
急に,suddenly,"I suddenly remembered something to do."
運ぶ,to carry,"Please carry the chair to the second floor."
早く,early / quickly,"Please come as early as possible."
橋,bridge,"That bridge is the longest in Japan."
裏,back / behind,"There is a park behind the company."
草,grass,"Grass is growing in the garden."
壁,wall,"There is a picture hanging on the wall."
湯,hot water,"The bathtub is full of hot water."
戸,door,"The door to the room is open."
こんなに,so much,"I've never read such an interesting book before."
お巡りさん,police officer,"Let's ask that police officer for directions."
腐る,to rot,"The apple is rotten."
絵本,picture book,"That child loves picture books."
いらっしゃる,to come / to be (honorific),"The guest has arrived."
きらりと,glimmer,"The diamond glimmered brightly."
光,light,"A beam of light shone through the window."
玉,jewel / bead,"Beads of sweat rolled down his face like pearls."
気に入る,to like,"I really like my new shoes."
光る,to shine,"The waves were sparkling in the sunlight."
引っ越し,move / relocation,"I moved last year."
引っ越す,to move,"I will move to Osaka next month."
お父さん,father,"My father is a company employee."
郊外,suburbs,"I bought a house in the suburbs."
移る,to move / to transfer,"She transferred to a new company."
隠れる,to hide,"The sun hid behind the clouds."
ああ,oh,"Oh, I can't stand noisy people."
あいづち,backchanneling,"I nodded along with his story."
あいにく,unfortunately,"Unfortunately, it started raining midway."
あえて,daringly,"He dared to take a risk."
あきれる,to be amazed / to be shocked,"I was shocked by his stubbornness."
あくび,yawn,"My father yawned."
あぐら,sitting cross-legged,"He is talking while sitting cross-legged."
あげる,to give,"I'll give this book to you."
あそこ,over there,"There is a bus stop over there."
